,V1,V2,V4,TEO,9/46d,F5,8m,7A,DP,2,5,7B,STPr,STPi,STPc,PBr,TEpd,24c,F1,F2,F7,ProM,8l,9/46v,46d,8B,10,MT,7m
5,0,0,0,2.57e-05,9.72e-04,9.76e-05,8.58e-05,1.02e-02,0,0,0,2.18e-02,0,0,2.77e-05,0,0,2.56e-02,1.09e-01,1.88e-02,2.26e-05,0,6.13e-05,7.02e-05,0,0,0,0,7.11e-03
7B,0,0,0,2.57e-05,1.11e-03,7.72e-02,7.85e-04,5.51e-04,0,2.03e-03,1.14e-02,0,0,0,2.21e-04,0,0,4.32e-03,0,5.25e-05,5.65e-05,1.06e-03,3.06e-05,1.95e-02,0,0,0,0,5.96e-06
STPr,2.00e-05,2.67e-05,2.89e-04,1.31e-03,1.52e-04,3.90e-05,1.47e-03,2.79e-03,7.95e-06,0,0,1.59e-04,0,2.21e-02,1.47e-02,6.96e-02,4.29e-04,2.77e-05,0,4.38e-05,6.58e-03,0,1.40e-03,2.90e-04,6.14e-04,1.91e-02,4.73e-02,2.43e-04,5.96e-05
STPi,1.34e-04,1.01e-04,3.85e-04,1.28e-04,6.50e-03,1.95e-05,1.44e-02,4.13e-02,4.77e-05,0,2.01e-03,7.95e-05,2.33e-01,0,4.19e-01,2.89e-01,2.51e-05,4.15e-05,0,4.47e-04,1.17e-02,0,5.75e-03,7.37e-04,1.32e-02,1.44e-02,1.30e-02,2.17e-04,8.93e-05
STPc,1.56e-03,8.54e-05,8.55e-05,1.92e-05,2.56e-02,4.88e-06,3.40e-02,1.31e-02,3.62e-04,0,0,9.89e-03,2.93e-02,2.39e-01,0,6.18e-02,5.01e-06,1.52e-04,9.00e-05,3.77e-04,1.84e-03,0,1.21e-02,9.83e-04,4.44e-03,5.41e-05,6.70e-04,1.78e-03,1.17e-02
PBr,0,0,0,5.13e-05,5.36e-04,3.90e-05,1.19e-03,0,0,0,0,0,1.94e-01,3.15e-01,1.99e-02,0,6.01e-05,0,0,6.13e-05,2.55e-03,0,9.81e-04,1.17e-05,4.65e-04,3.52e-04,1.30e-02,1.79e-05,5.96e-06
TEpd,1.29e-03,1.76e-03,7.55e-02,2.31e-01,0,3.90e-05,4.91e-05,2.72e-03,1.22e-03,0,0,0,9.27e-04,1.50e-04,7.89e-04,0,0,0,0,0,0,0,1.43e-04,1.05e-04,6.64e-05,0,1.37e-05,1.36e-02,5.96e-06
24c,0,0,0,0,3.04e-03,8.51e-03,2.39e-03,0,2.78e-05,2.39e-04,0,3.98e-05,2.64e-04,1.40e-04,1.38e-05,1.09e-04,0,0,4.32e-03,3.12e-02,9.32e-02,2.51e-03,2.42e-03,6.88e-03,3.04e-03,9.37e-02,1.68e-02,0,1.65e-03
F1,0,0,0,0,5.44e-05,4.30e-03,8.58e-04,1.63e-04,0,4.32e-04,3.37e-01,9.41e-04,1.06e-05,0,0,0,0,1.12e-02,0,1.63e-01,2.94e-04,6.76e-05,1.85e-03,5.85e-05,6.64e-05,7.73e-06,6.23e-06,2.98e-06,3.07e-04
F2,0,0,0,6.41e-06,2.23e-02,1.20e-03,2.16e-02,7.49e-03,1.54e-03,0,1.18e-01,2.93e-03,1.58e-05,0,0,0,0,4.91e-02,4.02e-01,0,9.72e-02,1.13e-05,1.90e-02,5.17e-03,1.33e-04,8.50e-05,6.18e-05,5.96e-06,3.17e-02
